Timestamp,Gender,Age,Department,Are_you_happy_with_your_department_work_area,Why_did_you_chosen_your_department_work_area,Current_year_you_are_studying_in,Cgpa,Are_you_having_proper_sleep_everyday,How_much_time_are_you_sleeping_everyday,Are_you_getting_good_food_diet_everyday,What_is_your_screen_time,On_what_do_you_spend_your_screen_time_more,From_where_you_are_getting_stress,When_you_are_stressed_more,What_will_you_like_to_do_when_you_are_stressed,How_did_you_felt_during_COVID_19_pandemic_period,concentrate_on_your_work_when_you_are_stressed
24-08-2022 22:32,Female,18,CSE,Yes,Interested,3,8,Yes,8,No,7,Social Media,Family,During exams,Listen's Music,Depressed,No
24-08-2022 22:52,Male,18,CSE,Yes,Interested,3,8.44,Yes,8,Yes,6,Video games,Studies/work,During exams,Sharing feelings with someone,Stressed,No
24-08-2022 22:57,Male,19,CSE,Yes,Interested,3,8.07,No,8,No,3,Studies,Studies/work,During exams,Travelling,Boring,No
24-08-2022 23:04,Male,24,CSE,No,Future scope,3,8,No,8,No,7,Other  ( Series/Movies ),Thinking about future,About Love,Sharing feelings with someone,Happy,No
25-08-2022 19:20,Male,19,CSE,Yes,All are choosing so I also chosen,3,9,Yes,8,Yes,3,Social Media,Family,During exams,Listen's Music,"Depressed, Stressed, Happy, Boring",No
25-08-2022 19:31,Female,20,CSE,Yes,Interested,3,9,Yes,8,Yes,3,Social Media,Studies/work,During exams,Doing any physical activity,"Happy, Boring",No
25-08-2022 19:45,Female,20,CSE,No,Due to Family pressure,3,8.01,No,6,No,3,Social Media,Health,During exams,Sharing feelings with someone,Boring,No
25-08-2022 20:34,Male,20,IT,Yes,Future scope,2,7,Yes,8,Yes,6,Other  ( Series/Movies ),Thinking about future,About Faculty,Doing any physical activity,Happy,Yes
25-08-2022 20:37,Female,20,CSE,No,Due to Family pressure,3,7.59,No,7,No,7,Social Media,Studies/work,No sleep,Sharing feelings with someone,Boring,No
25-08-2022 20:38,Female,20,IT,No,Due to Family pressure,2,8.5,No,7,No,8,Social Media,Thinking about future,About Faculty,Being calm or Being alone,Depressed,No
25-08-2022 20:38,Female,20,CSE,Yes,Interested,4,9.03,Yes,5,No,6,Social Media,Studies/work,During exams,Listen's Music,"Stressed, Boring",No
25-08-2022 20:39,Male,20,CSE,Yes,Due to Family pressure,3,7.56,Yes,4,No,8,Other  ( Series/Movies ),Thinking about future,About Money,Being calm or Being alone,Happy,No
25-08-2022 20:39,Male,22,CSE,Yes,Interested,3,9.19,Yes,6,Yes,7,Social Media,Thinking about future,About Love,Travelling,"Depressed, Happy, Boring",No
25-08-2022 20:40,Female,22,CSE,Yes,Interested,2,8,Yes,8,Yes,7,Social Media,Thinking about future,Threaten,Doing any physical activity,Boring,No
25-08-2022 20:41,Male,22,CSE,Yes,Interested,4,8.36,Yes,7,Yes,6,Other  ( Series/Movies ),Thinking about future,During exams,Listen's Music,"Depressed, Stressed",Yes
25-08-2022 20:41,Female,22,CSE,Yes,Future scope,3,8.2,Yes,6,No,6,Other  ( Series/Movies ),Thinking about future,During exams,Listen's Music,Happy,No
25-08-2022 20:42,Female,22,IT,Yes,Interested,2,8.11,No,5,No,7,Other  ( Series/Movies ),Studies/work,During exams,Listen's Music,Happy,No
25-08-2022 20:42,Female,19,IT,Yes,Interested,2,7.29,No,5,No,8,Other  ( Series/Movies ),Studies/work,During exams,Listen's Music,Happy,No
25-08-2022 20:42,Female,19,CSE,Yes,Due to Family pressure,4,7.06,No,4,No,5,Other  ( Series/Movies ),Thinking about future,About Money,Listen's Music,"Depressed, Happy",No
