name,area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,number_of_jobs_mean
City of London,city of london,"361,000","339,000","344,000","344,000","332,000","343,000","337,000","350,000","348,000","362,000","388,000","436,000","449,000","463,000","498,000","541,000","586,000","626,000","638,000","674,000","630,000","673,000","412,000"
Barking and Dagenham,barking and dagenham,"57,000","54,000","52,000","55,000","53,000","53,000","51,000","52,000","53,000","47,000","51,000","54,000","55,000","54,000","59,000","62,000","63,000","66,000","66,000","67,000","71,000","72,000","54,500"
Barnet,barnet,"138,000","138,000","135,000","138,000","135,000","136,000","138,000","136,000","140,000","143,000","141,000","147,000","154,000","159,000","165,000","168,000","169,000","176,000","169,000","166,000","163,000","176,000","145,000"
Bexley,bexley,"76,000","75,000","79,000","77,000","85,000","80,000","73,000","74,000","73,000","73,000","77,000","78,000","78,000","80,000","80,000","86,000","86,000","91,000","87,000","91,000","85,000","87,000","79,500"
Brent,brent,"122,000","116,000","116,000","119,000","119,000","118,000","110,000","111,000","109,000","110,000","114,000","115,000","123,000","125,000","131,000","136,000","148,000","157,000","157,000","155,000","149,000","147,000","120,500"
Bromley,bromley,"115,000","114,000","119,000","125,000","126,000","125,000","126,000","136,000","130,000","119,000","120,000","119,000","122,000","129,000","127,000","124,000","134,000","134,000","127,000","133,000","129,000","124,000","125,500"
Camden,camden,"291,000","294,000","287,000","279,000","278,000","292,000","280,000","296,000","307,000","309,000","307,000","331,000","344,000","355,000","379,000","383,000","394,000","398,000","403,000","402,000","391,000","418,000","320,000"
Croydon,croydon,"160,000","156,000","149,000","153,000","153,000","150,000","148,000","152,000","146,000","134,000","138,000","136,000","141,000","130,000","142,000","144,000","149,000","155,000","149,000","144,000","144,000","142,000","147,000"
Ealing,ealing,"134,000","134,000","133,000","137,000","136,000","138,000","136,000","140,000","131,000","128,000","128,000","148,000","148,000","152,000","159,000","163,000","168,000","168,000","148,000","158,000","160,000","158,000","144,000"
Enfield,enfield,"113,000","111,000","104,000","111,000","110,000","116,000","106,000","108,000","111,000","107,000","112,000","110,000","117,000","118,000","127,000","133,000","129,000","126,000","133,000","135,000","126,000","123,000","114,500"
Greenwich,greenwich,"84,000","71,000","73,000","76,000","77,000","81,000","81,000","82,000","81,000","80,000","82,000","81,000","82,000","86,000","95,000","96,000","96,000","102,000","106,000","107,000","102,000","102,000","82,000"
Hackney,hackney,"102,000","108,000","108,000","98,000","96,000","95,000","88,000","95,000","96,000","101,000","101,000","113,000","112,000","111,000","131,000","136,000","143,000","139,000","151,000","156,000","152,000","175,000","109,500"
Hammersmith and Fulham,hammersmith and fulham,"120,000","123,000","119,000","125,000","128,000","136,000","133,000","134,000","135,000","132,000","139,000","140,000","147,000","141,000","148,000","154,000","157,000","159,000","155,000","159,000","165,000","152,000","139,500"
Haringey,haringey,"74,000","75,000","75,000","78,000","78,000","84,000","82,000","81,000","78,000","75,000","72,000","74,000","80,000","84,000","90,000","93,000","92,000","92,000","91,000","89,000","94,000","93,000","81,500"
Harrow,harrow,"81,000","80,000","80,000","83,000","81,000","81,000","83,000","83,000","77,000","77,000","78,000","76,000","79,000","78,000","89,000","88,000","93,000","97,000","91,000","90,000","90,000","85,000","82,000"
Havering,havering,"89,000","88,000","91,000","92,000","92,000","89,000","86,000","82,000","87,000","80,000","82,000","82,000","84,000","91,000","90,000","93,000","100,000","103,000","104,000","98,000","95,000","105,000","90,500"
Hillingdon,hillingdon,"177,000","185,000","182,000","182,000","196,000","196,000","201,000","202,000","206,000","197,000","192,000","202,000","213,000","213,000","220,000","202,000","204,000","216,000","209,000","206,000","206,000","203,000","202,000"
Hounslow,hounslow,"146,000","150,000","136,000","135,000","130,000","139,000","132,000","136,000","137,000","138,000","143,000","150,000","160,000","167,000","164,000","187,000","197,000","186,000","178,000","185,000","169,000","174,000","150,000"
Islington,islington,"173,000","168,000","169,000","177,000","179,000","192,000","181,000","201,000","205,000","206,000","197,000","201,000","206,000","220,000","231,000","250,000","251,000","247,000","255,000","263,000","247,000","267,000","205,500"
Kensington and Chelsea,kensington and chelsea,"147,000","149,000","140,000","133,000","131,000","134,000","132,000","128,000","131,000","129,000","129,000","137,000","144,000","141,000","141,000","150,000","153,000","166,000","164,000","161,000","149,000","159,000","141,000"
Kingston upon Thames,kingston upon thames,"85,000","82,000","79,000","79,000","84,000","82,000","99,000","86,000","87,000","84,000","85,000","80,000","81,000","80,000","82,000","95,000","99,000","100,000","96,000","91,000","89,000","89,000","85,000"
