,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Cluster
0,New Fires,Christian Löffler,0.712,0.569,6,-10.819,0,0.0348,0.346,0.492,0.0794,0.241,116.016,audio_features,6I7nESv5d9zf9DcEA9I25u,spotify:track:6I7nESv5d9zf9DcEA9I25u,https://api.spotify.com/v1/tracks/6I7nESv5d9zf9DcEA9I25u,https://api.spotify.com/v1/audio-analysis/6I7nESv5d9zf9DcEA9I25u,251591,4,Cluster 1
1,Welcome To The Opera (with Grimes),Anyma,0.455,0.897,5,-6.345,0,0.0507,0.0073,0.259,0.429,0.0578,124.977,audio_features,3XgtRplaKaBn8lxBCAhfwI,spotify:track:3XgtRplaKaBn8lxBCAhfwI,https://api.spotify.com/v1/tracks/3XgtRplaKaBn8lxBCAhfwI,https://api.spotify.com/v1/audio-analysis/3XgtRplaKaBn8lxBCAhfwI,245280,4,Cluster 3
2,How To Listen To This Album,Stereoclip,0.551,0.712,9,-10.032,0,0.0514,0.285,0.44,0.109,0.0746,123.059,audio_features,0Py4iHLT1CPUOB6UJCrKeq,spotify:track:0Py4iHLT1CPUOB6UJCrKeq,https://api.spotify.com/v1/tracks/0Py4iHLT1CPUOB6UJCrKeq,https://api.spotify.com/v1/audio-analysis/0Py4iHLT1CPUOB6UJCrKeq,150462,4,Cluster 3
3,Moment - Mahmut Orhan Remix,PaulWetz,0.814,0.518,1,-9.994,0,0.0751,0.141,0.415,0.154,0.327,123.029,audio_features,3M6U1RZt2xU6GuVk80pIO0,spotify:track:3M6U1RZt2xU6GuVk80pIO0,https://api.spotify.com/v1/tracks/3M6U1RZt2xU6GuVk80pIO0,https://api.spotify.com/v1/audio-analysis/3M6U1RZt2xU6GuVk80pIO0,230046,4,Cluster 1
4,Sign of the Times,Harry Styles,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,audio_features,5Ohxk2dO5COHF1krpoPigN,spotify:track:5Ohxk2dO5COHF1krpoPigN,https://api.spotify.com/v1/tracks/5Ohxk2dO5COHF1krpoPigN,https://api.spotify.com/v1/audio-analysis/5Ohxk2dO5COHF1krpoPigN,340707,4,Cluster 3
5,Delichones,Anatolian Sessions,0.716,0.732,2,-10.099,1,0.0449,0.000989,0.799,0.0977,0.0513,115.998,audio_features,6qiwOC5TeKXK4pDonIZxgR,spotify:track:6qiwOC5TeKXK4pDonIZxgR,https://api.spotify.com/v1/tracks/6qiwOC5TeKXK4pDonIZxgR,https://api.spotify.com/v1/audio-analysis/6qiwOC5TeKXK4pDonIZxgR,405539,4,Cluster 1
6,Elinari,Anatolian Sessions,0.882,0.446,8,-11.997,1,0.083,0.00835,0.807,0.0813,0.281,110.014,audio_features,4EpCZkyDQeTSXocPuusxl4,spotify:track:4EpCZkyDQeTSXocPuusxl4,https://api.spotify.com/v1/tracks/4EpCZkyDQeTSXocPuusxl4,https://api.spotify.com/v1/audio-analysis/4EpCZkyDQeTSXocPuusxl4,432017,4,Cluster 1
7,Elegy,Madota,0.827,0.392,2,-10.817,1,0.0677,0.0097,0.101,0.371,0.072,94.043,audio_features,7lBkVj5MpgXpJU0snOYxnU,spotify:track:7lBkVj5MpgXpJU0snOYxnU,https://api.spotify.com/v1/tracks/7lBkVj5MpgXpJU0snOYxnU,https://api.spotify.com/v1/audio-analysis/7lBkVj5MpgXpJU0snOYxnU,324246,4,Cluster 1
8,Caminando de Noche,Niko Schwind,0.805,0.444,9,-10.148,0,0.0488,0.125,0.886,0.0875,0.334,118.011,audio_features,4L7g38G0N4RWSdaciFkTdQ,spotify:track:4L7g38G0N4RWSdaciFkTdQ,https://api.spotify.com/v1/tracks/4L7g38G0N4RWSdaciFkTdQ,https://api.spotify.com/v1/audio-analysis/4L7g38G0N4RWSdaciFkTdQ,464237,4,Cluster 1
9,Only We Can See,Sam Koxx,0.624,0.726,6,-8.998,0,0.0415,0.554,0.877,0.141,0.109,121.027,audio_features,1jO7upFXvgzsCiCPrOouT4,spotify:track:1jO7upFXvgzsCiCPrOouT4,https://api.spotify.com/v1/tracks/1jO7upFXvgzsCiCPrOouT4,https://api.spotify.com/v1/audio-analysis/1jO7upFXvgzsCiCPrOouT4,168595,4,Cluster 3
10,Vesaire - Sezer Uysal Mix,Mahmut Orhan,0.797,0.609,9,-8.323,0,0.058,0.00317,0.871,0.101,0.0614,115.001,audio_features,1evKg7tbQKSGsW4fCNc8rN,spotify:track:1evKg7tbQKSGsW4fCNc8rN,https://api.spotify.com/v1/tracks/1evKg7tbQKSGsW4fCNc8rN,https://api.spotify.com/v1/audio-analysis/1evKg7tbQKSGsW4fCNc8rN,453982,4,Cluster 1
11,Ordinary Friend,Bob Moses,0.538,0.709,8,-4.772,1,0.03,0.00141,0.00119,0.0927,0.209,140.003,audio_features,13mhxEx7vmeGk6e2Zk5gTQ,spotify:track:13mhxEx7vmeGk6e2Zk5gTQ,https://api.spotify.com/v1/tracks/13mhxEx7vmeGk6e2Zk5gTQ,https://api.spotify.com/v1/audio-analysis/13mhxEx7vmeGk6e2Zk5gTQ,190221,4,Cluster 3
12,Before I Fall,Bob Moses,0.538,0.582,9,-6.723,0,0.0396,0.163,2.64e-05,0.111,0.405,86.001,audio_features,6aLJ9KG3iQ0hgBcUyANvI2,spotify:track:6aLJ9KG3iQ0hgBcUyANvI2,https://api.spotify.com/v1/tracks/6aLJ9KG3iQ0hgBcUyANvI2,https://api.spotify.com/v1/audio-analysis/6aLJ9KG3iQ0hgBcUyANvI2,239373,4,Cluster 3
