code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct_x,population_size,number_of_jobs,area_size,no_of_houses,borough_flag,mean_recycle_pct,extended_pop_size,number_of_jobs_mean,total_hectar,recycling_pct_y
E09000001,city of london,1999-12-01,33020.0,6.856862266879769,48922.0,0.0,253036.0,412000.0,315.0,0.0,1,23.75," 7,798 ","412,000",315,23.75
E09000002,barking and dagenham,1999-12-01,21480.0,6.52667424006887,23620.0,3.0,253036.0,54500.0,3780.0,0.0,1,18.7," 190,533 ","54,500","3,780",18.7
E09000003,barnet,1999-12-01,19568.0,6.518525715657473,23128.0,8.0,253036.0,145000.0,8675.0,0.0,1,27.2," 355,461 ","145,000","8,675",27.200000000000003
E09000004,bexley,1999-12-01,18621.0,6.598481650386112,21386.0,18.0,253036.0,79500.0,6429.0,0.0,1,41.5," 232,682 ","79,500","6,429",41.5
E09000005,brent,1999-12-01,18532.0,6.934332714815451,20911.0,6.0,253036.0,120500.0,4323.0,0.0,1,25.35," 307,220 ","120,500","4,323",25.35
E09000006,bromley,1999-12-01,16720.0,6.975413366210932,21293.0,13.0,253036.0,125500.0,15013.0,0.0,1,35.05," 312,248 ","125,500","15,013",35.05
E09000007,camden,1999-12-01,23677.0,6.666622408754546,30249.0,13.0,253036.0,320000.0,2179.0,0.0,1,25.15," 210,941 ","320,000","2,179",25.15
E09000008,croydon,1999-12-01,19563.0,6.702047868905873,22205.0,13.0,253036.0,147000.0,8650.0,0.0,1,27.8," 363,545 ","147,000","8,650",27.799999999999997
E09000009,ealing,1999-12-01,20580.0,6.792820487833293,25046.0,12.0,253036.0,144000.0,5554.0,0.0,1,31.3," 337,910 ","144,000","5,554",31.299999999999997
E09000010,enfield,1999-12-01,19289.0,6.5096181573069005,21006.0,9.0,253036.0,114500.0,8220.0,0.0,1,27.65," 307,073 ","114,500","8,220",27.65
E09000011,greenwich,1999-12-01,21236.0,6.527319245936698,22263.0,4.0,253036.0,82000.0,5044.0,0.0,1,26.75," 254,017 ","82,000","5,044",26.75
E09000012,hackney,1999-12-01,23249.0,6.797981908631116,39629.0,2.0,253036.0,109500.0,1905.0,0.0,1,18.0," 237,843 ","109,500","1,905",18.0
E09000013,hammersmith and fulham,1999-12-01,25000.0,6.646334032814981,28555.0,7.0,253036.0,139500.0,1715.0,0.0,1,20.6," 178,334 ","139,500","1,715",20.6
E09000014,haringey,1999-12-01,18783.0,6.964919752515396,21683.0,5.0,253036.0,81500.0,2960.0,0.0,1,22.65," 247,026 ","81,500","2,960",22.65
E09000015,harrow,1999-12-01,20596.0,6.9911063948331105,22824.0,10.0,253036.0,82000.0,5046.0,0.0,1,33.2," 237,234 ","82,000","5,046",33.2
E09000016,havering,1999-12-01,17165.0,6.695551642913422,18786.0,8.0,253036.0,90500.0,11446.0,0.0,1,24.2," 241,560 ","90,500","11,446",24.2
E09000017,hillingdon,1999-12-01,24002.0,6.636150071786252,28854.0,11.0,253036.0,202000.0,11570.0,0.0,1,34.1," 275,669 ","202,000","11,570",34.1
E09000018,hounslow,1999-12-01,20155.0,6.737682617935424,24602.0,14.0,253036.0,150000.0,5659.0,0.0,1,25.9," 253,036 ","150,000","5,659",25.9
E09000019,islington,1999-12-01,25113.0,6.537842110319137,34180.0,2.0,253036.0,205500.0,1486.0,0.0,1,22.0," 200,758 ","205,500","1,486",22.0
E09000020,kensington and chelsea,1999-12-01,20646.0,6.5605603967885395,28074.0,13.0,253036.0,141000.0,1238.0,0.0,1,22.6," 154,609 ","141,000","1,238",22.6
E09000021,kingston upon thames,1999-12-01,19302.0,6.970220921535059,22967.0,18.0,253036.0,85000.0,3726.0,0.0,1,34.4," 159,166 ","85,000","3,726",34.4
