sample,area,total_hectar
City of London,city of london,315
Barking and Dagenham,barking and dagenham,"3,780"
Barnet,barnet,"8,675"
Bexley,bexley,"6,429"
Brent,brent,"4,323"
Bromley,bromley,"15,013"
Camden,camden,"2,179"
Croydon,croydon,"8,650"
Ealing,ealing,"5,554"
Enfield,enfield,"8,220"
Greenwich,greenwich,"5,044"
Hackney,hackney,"1,905"
Hammersmith and Fulham,hammersmith and fulham,"1,715"
Haringey,haringey,"2,960"
Harrow,harrow,"5,046"
Havering,havering,"11,446"
Hillingdon,hillingdon,"11,570"
Hounslow,hounslow,"5,659"
Islington,islington,"1,486"
Kensington and Chelsea,kensington and chelsea,"1,238"
Kingston upon Thames,kingston upon thames,"3,726"
Lambeth,lambeth,"2,725"
Lewisham,lewisham,"3,532"
Merton,merton,"3,762"
Newham,newham,"3,857"
Redbridge,redbridge,"5,644"
Richmond upon Thames,richmond upon thames,"5,876"
Southwark,southwark,"2,991"
Sutton,sutton,"4,385"
Tower Hamlets,tower hamlets,"2,158"
Waltham Forest,waltham forest,"3,881"
Wandsworth,wandsworth,"3,522"
Westminster,westminster,"2,203"
,,
Inner London,inner london,"32,796"
Outer London,outer london,"126,676"
,,
London,london,"159,471"
,,
,,
Region,region,Total Area (Hectares)
North East,north east,"867,642"
North West,north west,"1,492,362"
Yorkshire and the Humber,yorkshire and the humber,"1,556,403"
East Midlands,east midlands,"1,581,076"
West Midlands,west midlands,"1,300,380"
East,east,"1,957,410"
London,london,"159,471"
South East,south east,"1,940,740"
South West,south west,"2,438,889"
Wales,wales,"2,122,453"
England,england,"13,294,373"
England and Wales,,"15,416,826"
